연번,시군구,법정동,연료,관용승용차,관용승합차,관용화물차,관용특수차,자가용승용차,자가용승합차,자가용화물차,자가용특수차,영업용승용차,영업용승합차,영업용화물차,영업용특수차,데이터기준일자,
1.0,서울특별시 마포구 ,아현동,휘발유,0.0,0.0,0.0,0.0,2144.0,1.0,4.0,0.0,1.0,0,0,0,45348.0,
2.0,서울특별시 마포구 ,아현동,경유,0.0,2.0,0.0,0.0,1798.0,96.0,289.0,3.0,2.0,1,43,1,45348.0,
3.0,서울특별시 마포구 ,아현동,엘피지,0.0,0.0,0.0,0.0,219.0,14.0,27.0,0.0,66.0,0,4,0,45348.0,
4.0,서울특별시 마포구 ,아현동,전기,0.0,0.0,0.0,0.0,129.0,0.0,6.0,0.0,7.0,0,4,0,45348.0,
5.0,서울특별시 마포구 ,아현동,휘발유(유연),0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
6.0,서울특별시 마포구 ,아현동,휘발유(무연),0.0,0.0,0.0,0.0,2888.0,1.0,2.0,0.0,1.0,0,0,0,45348.0,
7.0,서울특별시 마포구 ,아현동,하이브리드(휘발유+전기),0.0,0.0,0.0,0.0,828.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
8.0,서울특별시 마포구 ,아현동,하이브리드(경유+전기),0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
9.0,서울특별시 마포구 ,아현동,하이브리드(LPG+전기),0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
10.0,서울특별시 마포구 ,아현동,수소,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
11.0,서울특별시 마포구 ,아현동,기타연료,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,0,0,0,45348.0,
12.0,서울특별시 마포구 ,공덕동,휘발유,2.0,0.0,0.0,0.0,1903.0,0.0,5.0,1.0,4.0,0,0,0,45348.0,
13.0,서울특별시 마포구 ,공덕동,경유,1.0,3.0,3.0,0.0,1698.0,134.0,354.0,6.0,2.0,0,282,296,45348.0,
14.0,서울특별시 마포구 ,공덕동,엘피지,0.0,0.0,1.0,0.0,212.0,18.0,30.0,0.0,41.0,0,15,10,45348.0,
15.0,서울특별시 마포구 ,공덕동,전기,3.0,0.0,0.0,0.0,133.0,1.0,5.0,0.0,11.0,0,7,0,45348.0,
16.0,서울특별시 마포구 ,공덕동,휘발유(무연),3.0,0.0,0.0,0.0,2721.0,0.0,1.0,0.0,31.0,0,0,0,45348.0,
17.0,서울특별시 마포구 ,공덕동,하이브리드(휘발유+전기),1.0,0.0,0.0,0.0,628.0,0.0,0.0,0.0,2.0,0,0,0,45348.0,
18.0,서울특별시 마포구 ,공덕동,하이브리드(경유+전기),0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
19.0,서울특별시 마포구 ,공덕동,하이브리드(LPG+전기),0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
20.0,서울특별시 마포구 ,공덕동,수소,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
21.0,서울특별시 마포구 ,공덕동,기타연료,0.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,0.0,0,2,0,45348.0,
22.0,서울특별시 마포구 ,신공덕동,휘발유,1.0,0.0,0.0,0.0,1029.0,0.0,3.0,0.0,7.0,0,0,0,45348.0,
23.0,서울특별시 마포구 ,신공덕동,경유,0.0,0.0,0.0,0.0,839.0,55.0,172.0,5.0,15.0,3,20,0,45348.0,
24.0,서울특별시 마포구 ,신공덕동,엘피지,0.0,0.0,0.0,0.0,104.0,13.0,17.0,0.0,27.0,0,1,0,45348.0,
25.0,서울특별시 마포구 ,신공덕동,전기,0.0,0.0,0.0,0.0,69.0,0.0,4.0,0.0,6.0,0,4,0,45348.0,
26.0,서울특별시 마포구 ,신공덕동,휘발유(유연),0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
27.0,서울특별시 마포구 ,신공덕동,휘발유(무연),0.0,0.0,0.0,0.0,1251.0,0.0,0.0,0.0,40.0,0,0,0,45348.0,
28.0,서울특별시 마포구 ,신공덕동,하이브리드(휘발유+전기),0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,1.0,0,0,0,45348.0,
29.0,서울특별시 마포구 ,신공덕동,하이브리드(경유+전기),0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0,0,0,45348.0,
30.0,서울특별시 마포구 ,신공덕동,수소,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
31.0,서울특별시 마포구 ,신공덕동,기타연료,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0,0,0,45348.0,
32.0,서울특별시 마포구 ,도화동,휘발유,1.0,0.0,0.0,0.0,1999.0,2.0,4.0,1.0,17.0,0,0,0,45348.0,
33.0,서울특별시 마포구 ,도화동,경유,2.0,3.0,15.0,0.0,1643.0,114.0,685.0,15.0,47.0,26,422,24,45348.0,
34.0,서울특별시 마포구 ,도화동,엘피지,0.0,0.0,2.0,0.0,218.0,24.0,26.0,1.0,61.0,0,8,0,45348.0,
35.0,서울특별시 마포구 ,도화동,전기,3.0,0.0,0.0,0.0,92.0,1.0,31.0,0.0,12.0,0,7,0,45348.0,
36.0,서울특별시 마포구 ,도화동,휘발유(유연),0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
37.0,서울특별시 마포구 ,도화동,휘발유(무연),0.0,0.0,0.0,0.0,2729.0,0.0,3.0,0.0,105.0,1,0,0,45348.0,
38.0,서울특별시 마포구 ,도화동,CNG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
39.0,서울특별시 마포구 ,도화동,하이브리드(휘발유+전기),2.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,12.0,0,0,0,45348.0,
40.0,서울특별시 마포구 ,도화동,하이브리드(경유+전기),0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0,0,0,45348.0,
41.0,서울특별시 마포구 ,도화동,수소,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0,0,0,45348.0,
42.0,서울특별시 마포구 ,도화동,기타연료,0.0,0.0,0.0,0.0,1.0,4.0,8.0,2.0,0.0,0,28,0,45348.0,
43.0,서울특별시 마포구 ,용강동,휘발유,0.0,0.0,0.0,0.0,644.0,0.0,2.0,0.0,0.0,0,0,0,45348.0,
44.0,서울특별시 마포구 ,용강동,경유,0.0,0.0,1.0,0.0,515.0,44.0,127.0,1.0,0.0,2,33,34,45348.0,
45.0,서울특별시 마포구 ,용강동,엘피지,0.0,0.0,0.0,0.0,76.0,6.0,13.0,0.0,29.0,0,14,24,45348.0,
46.0,서울특별시 마포구 ,용강동,전기,1.0,0.0,0.0,0.0,41.0,0.0,3.0,0.0,2.0,0,1,0,45348.0,
47.0,서울특별시 마포구 ,용강동,휘발유(유연),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
48.0,서울특별시 마포구 ,용강동,휘발유(무연),0.0,0.0,0.0,0.0,867.0,2.0,1.0,0.0,0.0,0,0,0,45348.0,
49.0,서울특별시 마포구 ,용강동,하이브리드(휘발유+전기),0.0,0.0,0.0,0.0,236.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
50.0,서울특별시 마포구 ,용강동,하이브리드(경유+전기),0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
51.0,서울특별시 마포구 ,용강동,수소,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
52.0,서울특별시 마포구 ,용강동,기타연료,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0,0,0,45348.0,
53.0,서울특별시 마포구 ,토정동,휘발유,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
54.0,서울특별시 마포구 ,토정동,경유,0.0,0.0,0.0,0.0,131.0,4.0,19.0,0.0,0.0,0,2,2,45348.0,
55.0,서울특별시 마포구 ,토정동,엘피지,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,1.0,0,0,0,45348.0,
56.0,서울특별시 마포구 ,토정동,전기,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
57.0,서울특별시 마포구 ,토정동,휘발유(유연),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
58.0,서울특별시 마포구 ,토정동,휘발유(무연),0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
59.0,서울특별시 마포구 ,토정동,하이브리드(휘발유+전기),0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
60.0,서울특별시 마포구 ,토정동,하이브리드(LPG+전기),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
61.0,서울특별시 마포구 ,토정동,기타연료,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,45348.0,
62.0,서울특별시 마포구 ,마포동,휘발유,0.0,0.0,0.0,0.0,314.0,1.0,2.0,0.0,19.0,0,0,0,45348.0,
63.0,서울특별시 마포구 ,마포동,경유,0.0,0.0,3.0,0.0,296.0,31.0,160.0,2.0,618.0,37,163,1,45348.0,
64.0,서울특별시 마포구 ,마포동,엘피지,0.0,0.0,1.0,0.0,43.0,15.0,9.0,0.0,28.0,0,2,0,45348.0,
65.0,서울특별시 마포구 ,마포동,전기,0.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,26.0,0,11,0,45348.0,
66.0,서울특별시 마포구 ,마포동,휘발유(무연),0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,735.0,0,0,0,45348.0,
67.0,서울특별시 마포구 ,마포동,하이브리드(휘발유+전기),0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,79.0,0,0,0,45348.0,
68.0,서울특별시 마포구 ,마포동,하이브리드(경유+전기),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,0,0,45348.0,
69.0,서울특별시 마포구 ,마포동,수소,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
70.0,서울특별시 마포구 ,마포동,기타연료,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,45348.0,
71.0,서울특별시 마포구 ,대흥동,휘발유,0.0,0.0,0.0,0.0,1065.0,0.0,2.0,0.0,32.0,0,0,0,45348.0,
72.0,서울특별시 마포구 ,대흥동,경유,0.0,0.0,0.0,0.0,1017.0,71.0,210.0,5.0,40.0,1,41,23,45348.0,
73.0,서울특별시 마포구 ,대흥동,엘피지,0.0,0.0,0.0,0.0,148.0,16.0,31.0,0.0,56.0,0,8,0,45348.0,
74.0,서울특별시 마포구 ,대흥동,전기,0.0,0.0,0.0,0.0,71.0,0.0,4.0,0.0,17.0,0,6,0,45348.0,
75.0,서울특별시 마포구 ,대흥동,휘발유(유연),0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
76.0,서울특별시 마포구 ,대흥동,휘발유(무연),0.0,0.0,0.0,0.0,1605.0,1.0,1.0,0.0,49.0,0,0,0,45348.0,
77.0,서울특별시 마포구 ,대흥동,CNG,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
78.0,서울특별시 마포구 ,대흥동,하이브리드(휘발유+전기),0.0,0.0,0.0,0.0,367.0,0.0,0.0,0.0,21.0,0,0,0,45348.0,
79.0,서울특별시 마포구 ,대흥동,하이브리드(경유+전기),0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0,0,0,45348.0,
80.0,서울특별시 마포구 ,대흥동,하이브리드(LPG+전기),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
81.0,서울특별시 마포구 ,대흥동,수소,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
82.0,서울특별시 마포구 ,대흥동,기타연료,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0,0,0,45348.0,
83.0,서울특별시 마포구 ,염리동,휘발유,0.0,0.0,0.0,0.0,1288.0,2.0,4.0,0.0,0.0,0,0,0,45348.0,
84.0,서울특별시 마포구 ,염리동,경유,0.0,0.0,1.0,0.0,1114.0,75.0,570.0,11.0,0.0,0,34,30,45348.0,
85.0,서울특별시 마포구 ,염리동,엘피지,0.0,0.0,0.0,0.0,165.0,14.0,24.0,0.0,15.0,0,4,6,45348.0,
86.0,서울특별시 마포구 ,염리동,전기,1.0,0.0,0.0,0.0,80.0,0.0,158.0,0.0,2.0,0,2,0,45348.0,
87.0,서울특별시 마포구 ,염리동,휘발유(유연),0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
88.0,서울특별시 마포구 ,염리동,휘발유(무연),0.0,0.0,0.0,0.0,1794.0,3.0,0.0,0.0,0.0,0,0,0,45348.0,
89.0,서울특별시 마포구 ,염리동,하이브리드(휘발유+전기),0.0,0.0,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0,0,0,45348.0,
